municipio;year;Todas las edades
        24045 Carucedo;2018;557
        24046 Carucedo;2017;555
        24047 Carucedo;2016;574
        24048 Carucedo;2015;583
        24049 Carucedo;2014;603
        24050 Carucedo;2013;618
        24051 Carucedo;2012;655
        24052 Carucedo;2011;642
        24053 Carucedo;2010;642
        24054 Carucedo;2009;656
        24055 Carucedo;2008;646
        24056 Carucedo;2007;689
        24057 Carucedo;2006;634
        24058 Carucedo;2005;644
        24059 Carucedo;2004;649
        24060 Carucedo;2003;661
        24042 Castilfalé;2022;63
        24043 Castilfalé;2021;65
        24044 Castilfalé;2020;67
        24045 Castilfalé;2019;69
        24046 Castilfalé;2018;65
        24047 Castilfalé;2017;68
        24048 Castilfalé;2016;72
        24049 Castilfalé;2015;71
        24050 Castilfalé;2014;77
        24051 Castilfalé;2013;77
        24052 Castilfalé;2012;78
        24053 Castilfalé;2011;84
        24054 Castilfalé;2010;91
        24055 Castilfalé;2009;89
        24056 Castilfalé;2008;92
        24057 Castilfalé;2007;88
        24058 Castilfalé;2006;86
        24059 Castilfalé;2005;84
        24060 Castilfalé;2004;91
        24061 Castilfalé;2003;98
        24043 Castrillo de Cabrera;2022;106
        24044 Castrillo de Cabrera;2021;108
        24045 Castrillo de Cabrera;2020;111
        24046 Castrillo de Cabrera;2019;119
        24047 Castrillo de Cabrera;2018;122
        24048 Castrillo de Cabrera;2017;129
        24049 Castrillo de Cabrera;2016;134
        24050 Castrillo de Cabrera;2015;134
        24051 Castrillo de Cabrera;2014;133
        24052 Castrillo de Cabrera;2013;134
        24053 Castrillo de Cabrera;2012;141
        24054 Castrillo de Cabrera;2011;152
        24055 Castrillo de Cabrera;2010;152
        24056 Castrillo de Cabrera;2009;165
        24057 Castrillo de Cabrera;2008;174
        24058 Castrillo de Cabrera;2007;188
        24059 Castrillo de Cabrera;2006;172
        24060 Castrillo de Cabrera;2005;162
        24061 Castrillo de Cabrera;2004;165
        24062 Castrillo de Cabrera;2003;178
        24044 Castrillo de la Valduerna;2022;144
        24045 Castrillo de la Valduerna;2021;149
        24046 Castrillo de la Valduerna;2020;155
        24047 Castrillo de la Valduerna;2019;158
        24048 Castrillo de la Valduerna;2018;164
        24049 Castrillo de la Valduerna;2017;171
        24050 Castrillo de la Valduerna;2016;180
        24051 Castrillo de la Valduerna;2015;183
        24052 Castrillo de la Valduerna;2014;189
